Datum,Region,Kundenpünktlichkeit KPP,KPP FV,KPP RV,KAP,KAP FV,KAP RV
2021-07-03,ROT,97.4762999448,94.0032005541,99.0346864326,98.1181129597,94.9226358556,99.2926661226
2021-03-17,NETZ,93.5552853113,90.9205513194,95.1954154384,94.2651775199,91.7064961761,95.713397431
2021-03-18,ROT,95.2270171054,92.5877818232,96.1331781115,95.5477926328,93.1214279343,96.2743723073
2021-03-18,RWT,92.2980114491,93.3866604229,90.8490293666,92.7374644861,93.710588658,91.4994469298
2021-03-20,NETZ,97.2292721546,95.8673499097,98.1597356765,97.7977555637,96.6120498138,98.4650518743
2021-03-21,ROT,97.6585808273,96.1126964843,98.3546348597,98.3740703414,96.5889802149,99.0384866994
2021-03-21,RWT,96.3953923695,94.91685533,97.460966812,97.9839909469,97.6536963592,98.1695047366
2021-03-22,NETZ,94.3625355823,91.1231341516,96.3985259952,95.3117180633,92.3715730564,96.9814561474
2021-03-22,ROT,97.2757706074,94.7338946123,98.1447037982,97.6534681051,95.0580766543,98.4293780017
2021-07-11,RWT,94.5915992505,93.5945391739,96.1342960531,94.8266303881,93.8492830691,96.1600058326
2021-01-04,NETZ,96.0296447511,94.4262842012,97.0393759877,96.6551441138,95.3241951979,97.4136021246
2021-01-04,RME,96.478273756,95.631043609,97.317273652,96.7636837147,95.7365035042,97.7017521506
2021-01-04,ROT,96.447046489,92.9897743226,97.6343332067,97.1775814403,94.3572449677,98.0144143969
2020-12-28,RME,96.1966825383,95.1074531686,97.2755909871,96.451862584,95.3538914863,97.4506890194
2020-12-28,ROT,98.0488247495,97.1966244982,98.3360680485,98.5073642309,97.5918784406,98.7772631486
2020-12-28,RSD,77.6904026599,82.2781365994,73.507587426,82.7871847686,84.2470152759,81.5357632047
2020-12-29,ROT,98.5023007426,97.1236397702,98.9662240619,98.9466671713,97.488858508,99.374969328
2020-12-29,RSD,94.8721435572,96.3014521098,93.6085844235,95.1520164805,96.1450458122,94.3854211454
2020-12-30,RWT,95.9505842947,96.0085108721,95.8732438263,96.3994636492,96.4602826551,96.3223481576
2020-12-31,NETZ,95.46761641,93.876000163,96.4509124751,96.3422865966,95.3628427194,96.8875337613
2021-01-02,ROT,99.5747648076,98.9219959575,99.8673020592,99.6418224993,99.0467522916,99.861440256
2021-01-03,NETZ,98.3779265264,97.7352302729,98.8886354726,98.5404135291,98.0219149787,98.8887980679
2021-02-07,RME,96.5331176425,95.8967741924,97.3243213384,96.5876798483,96.120440426,97.0911401507
