Datum;Region;Kundenpünktlichkeit KPP;KPP FV;KPP RV;KAP;KAP FV;KAP RV;ZPK;ZPK FV;ZPK RV;KCOR;cor;Schlüssel
2021-06-16;RME;93.5023230625;92.1432536997;94.8625916015;94.1976836764;92.9469282868;95.3457599572;92.6302756026;91.2666759699;92.9340608096;97.6423376063;98.6834957661;2021-06-16 00:00:00-RME
2021-06-16;ROT;96.7191374463;93.3668808329;97.862077264;97.0752430717;93.9889768171;97.9893086878;96.0704547875;94.7517162471;96.2058132707;97.7024950448;99.3041028049;2021-06-16 00:00:00-ROT
2021-06-16;RWT;88.834227649;88.5221074713;89.2367442542;89.8802596144;89.6926744778;90.1113209605;84.7597509463;86.8502994012;84.170557626;97.8040009058;98.2187820573;2021-06-16 00:00:00-RWT
2020-12-27;RWT;96.5021392775;95.599979919;98.0635293334;97.8660183308;97.7647567697;98.0218063183;94.6635307488;96.4815668203;93.9773004001;99.0712485862;99.347138631;2020-12-27 00:00:00-RWT
2021-03-25;RWT;91.1627657413;91.2599652799;91.032284315;91.5629382162;91.8266557153;91.2260633783;88.3382687927;92.1835256568;87.1770223178;97.7377040884;99.0156904785;2021-03-25 00:00:00-RWT
2021-09-01;NETZ;92.4192707077;89.7187077873;93.998562285;93.1013012415;90.7827149741;94.3223598951;91.2035119093;89.1679234339;91.5664469007;96.4252470251;98.6320109439;2021-09-01 00:00:00-NETZ
2021-09-04;RSD;79.7239031959;79.3726081096;80.112728943;86.4052925474;82.2809975291;90.1872599325;83.9956140351;82.4514824798;84.7405721717;86.5553566489;94.6436677258;2021-09-04 00:00:00-RSD
2021-09-05;RME;94.026963302;92.1403665167;96.4150086012;94.4310075256;92.7385017268;96.2550411202;94.6944592435;93.5909090909;94.9491803279;97.6474029974;99.0737794747;2021-09-05 00:00:00-RME
2021-09-05;ROT;97.396572569;95.0091601581;98.4736172823;98.0436642086;95.7804161196;98.882710336;96.5848308517;96.1347548593;96.6339090823;98.2872318842;99.4453768081;2021-09-05 00:00:00-ROT
2021-09-05;RSD;89.0993244089;87.6025958562;90.8770587336;92.9797887089;90.2751004457;95.5028238454;91.5609645132;92.2468099396;91.2096663227;95.0700534754;98.9376443418;2021-09-05 00:00:00-RSD
2021-09-06;RME;91.1999177328;89.0017457968;93.3764160007;91.7597345253;89.3025222351;93.996093724;90.2860595268;87.8328567343;90.8169946776;97.4544510539;98.4500370573;2021-09-06 00:00:00-RME
