Datum,Region,Kundenpünktlichkeit KPP,KPP FV,KPP RV,KAP,KAP FV,KAP RV
2021-03-08,NETZ,95.1663088563,93.8298447963,96.0009730387,96.0183290183,94.5851661934,96.8322173709
2021-03-09,NETZ,95.4326904334,94.2780492834,96.1517008476,96.2299131943,94.9474001355,96.9576048458
2021-03-10,NETZ,96.2321116756,94.2775409144,97.4544074578,96.7192035734,95.0482383176,97.6646674618
2021-03-11,NETZ,93.0227691189,89.4809394341,95.232604258,93.7941384027,90.6790337403,95.5511088699
2021-03-12,NETZ,93.7075310685,90.7013293787,95.5847689004,95.3171138233,93.198574888,96.503230875
2021-03-13,NETZ,93.6152900674,90.7321997556,95.8883601324,96.2989913705,94.0432252485,97.786167497
2021-03-14,NETZ,94.6714386874,91.8038923981,96.9448686244,97.4575346408,95.6662735746,98.6356449816
2021-03-15,NETZ,90.4924612317,87.6835252576,92.2400818664,91.1411307656,88.3085865514,92.7383560259
2021-03-16,NETZ,94.598637788,91.9420765831,96.2584596819,95.0182794066,92.4618143883,96.4661919365
2021-03-17,NETZ,93.5552853113,90.9205513194,95.1954154384,94.2651775199,91.7064961761,95.713397431
2021-03-18,NETZ,94.3304282958,92.6442236574,95.3844074282,94.7014465499,93.1045517435,95.6093657896
2021-03-19,NETZ,93.4233387743,90.9849751177,94.9432848106,94.1232484969,91.5229302401,95.6019212508
2021-03-20,NETZ,97.2292721546,95.8673499097,98.1597356765,97.7977555637,96.6120498138,98.4650518743
2021-03-21,NETZ,97.3169209495,96.2261637072,98.0587953831,98.1163660184,96.9596624945,98.7651016758
2021-03-22,NETZ,94.3625355823,91.1231341516,96.3985259952,95.3117180633,92.3715730564,96.9814561474
2021-03-23,NETZ,92.6772128246,89.7195662839,94.5196918506,93.4278579051,90.706040131,94.9619381593
2021-03-24,NETZ,95.0775545616,93.3178876329,96.1718298512,95.6903041708,93.8980806684,96.7018862852
2021-03-25,NETZ,95.090872821,93.2569020964,96.2330943576,95.7483479747,93.6985401357,96.9131376542
2021-03-26,NETZ,95.9709118083,93.9684994028,97.2201153934,96.3060781923,94.4947533014,97.331558871
2021-03-27,NETZ,96.6569434068,94.5504186345,98.3225056593,97.1145300507,95.1053162429,98.4605526004
2021-03-28,NETZ,96.7211384383,95.0702158975,98.0242450973,97.5393763635,95.8382654145,98.6798716646
2021-03-29,NETZ,93.6923617603,91.4841006506,95.0624671162,94.66100224,92.7082234809,95.7581434285
2021-03-30,NETZ,94.1657665977,92.0667925127,95.4761541714,94.9837657419,93.2620330487,95.9591352275
2021-03-31,NETZ,91.1502712072,86.8748759271,93.793961659,92.4146940988,88.7202718363,94.4732793072
2021-04-01,NETZ,96.1160248628,94.3185573863,97.2337559811,96.568160817,95.1064187747,97.3907284689
2021-04-02,NETZ,96.8252842765,95.7336044298,97.6786907818,97.5253303718,96.2205765586,98.3940147871
2021-04-03,NETZ,98.6245923144,98.0006394031,99.1176529198,98.8618998424,98.313799275,99.2284817945
2021-04-04,NETZ,98.544691221,98.3663047642,98.6854533704,99.1763646995,98.7614138612,99.4538831662
2021-04-05,NETZ,96.3666876424,95.2354486049,97.2554200161,97.0671244975,95.798878052,97.9121411548
2021-04-06,NETZ,95.3763337744,93.8041253753,96.3575560028,96.0756870811,94.5434350143,96.9416340781
2021-04-07,NETZ,91.4060253006,86.867362664,94.2276091532,92.3652712094,87.9804320786,94.8260541721
2021-04-08,NETZ,94.641516654,91.6634410106,96.4911582783,95.1730032339,92.1843239718,96.8541558609
2021-04-09,NETZ,94.9979665348,92.5827980551,96.4995700229,95.6092588408,93.3609896832,96.87472627
